club_name,revenue
札幌,5000
鹿島,7200
浦和,10211
柏,4658
FC東京,6989
東京Ｖ,3683
町田,5754
川崎F,8403
横浜FM,7333
湘南,2896
新潟,4062
磐田,4852
名古屋,6874
京都,3720
Ｇ大阪,7223
Ｃ大阪,5401
神戸,8067
広島,8035
福岡,3053
鳥栖,3058
仙台,2500
秋田,1007
山形,2612
いわき,1408
水戸,1224
栃木SC,1199
群馬,1007
千葉,3197
横浜FC,3314
甲府,1748
清水,5003
藤枝,907
岡山,2036
山口,1251
徳島,2731
愛媛,1119
長崎,2352
熊本,1133
大分,1819
鹿児島,1130
八戸,538
岩手,689
福島,523
大宮,2640
YS横浜,251
相模原,1074
松本,1432
長野,874
富山,919
金沢,1274
沼津,589
岐阜,1010
FC大阪,659
奈良,465
鳥取,540
讃岐,443
今治,1353
北九州,907
宮崎,510
琉球,603
栃木C,55
高知,19